time,SOPR,SOPR Smoothing,Upper Bollinger Band,Lower Bollinger Band,btc active adresses,btc sending adresses,btc receiving adresses,btc new adresses,btc blocks,btc blocksminted,btc meanblocksize,btc totalblocksize,btc difficulty,btc hashrate,btc totalvolume,btc totalvolume usd
1400976000,1.6911168,0.728931551658957,1.07384318616127,-1.06580180616127,164244.727474917,105642.964572104,138010.297900512,80846.7372546659,301886.632744417,165.859611108282,225651.317716783,37470487.8149994,4.00535864663695E+019,7.31683454679334E+016,849532.159291802,430112729.625657
1401062400,0.634114799999996,0.788554542266418,1.11479764933463,-0.965664829334628,165315.867934023,107589.334649904,138768.97100951,82582.4213901812,302051.063154523,164.430590906776,230054.78929417,37835767.3031813,4.0952934381575E+019,7.4394619204021E+016,832671.048297877,432059776.311896
1401148800,4.1061306,1.88946298912707,2.32268630727754,-1.74049226727754,167634.437400564,110591.273804467,140766.249007781,85509.7993192392,302210.324399155,159.26139256009,242183.159155123,38294622.7026029,4.16887644940159E+019,7.3573003637749E+016,853713.604623099,452778639.331896
1401235200,0.4544244,1.6836286274676,2.34293272224582,-1.70976922224582,170462.176055007,114878.678567291,143358.567370002,89308.9267157411,302371.356326581,161.032048458255,243437.259319495,38985534.9384933,4.22908073132858E+019,7.59528785162391E+016,855773.563673485,460851766.592981
1401321600,0.230529600000002,1.44737178610986,2.35004553706402,-1.69199871706402,170628.871317733,115773.282464147,143626.100575456,90164.9400401518,302528.746085385,157.389857829482,248593.685413565,38865158.0405854,4.27833878017793E+019,7.5261893727106E+016,819483.296417149,445036134.353978
1401408000,2.141118,1.83303691590806,2.59828886581546,-1.72194188581546,167150.349259964,113221.958379757,140623.536834464,87850.9509419424,302687.883160769,159.137156405939,243418.537385188,38482724.2150244,4.31864082014558E+019,7.69989000434981E+016,838764.725791391,464168694.538738
1401494400,1.2215976,1.86993856756114,2.67227870064137,-1.64409872064138,163345.376667243,110069.60231071,137484.893773653,85384.5962252256,302844.813495175,156.930400695769,237050.720445643,37055709.8122927,4.35161521648274E+019,7.67819827928764E+016,792524.868764515,445869583.831422
1401580800,0.961926600000003,1.82144264618639,2.70808513308592,-1.54792429308592,168224.944545926,109461.31098149,142831.822178443,85322.669638821,303005.029223325,160.215782387447,231229.48400098,36842114.573694,4.37859426803134E+019,7.9014669904534E+016,782667.998950621,451530939.066332
1401667200,1.6182192,1.98064071051614,2.80300567374336,-1.43743999374336,169439.863719394,111639.072621219,143916.399964181,86851.2751590353,303171.205728175,166.176549226093,225483.560861848,37148637.9239315,4.40066803748018E+019,8.20933919594437E+016,812628.320700016,479266235.337073
1401753600,0.979257600000003,1.91726894496775,2.80663602280102,-1.29012060280102,172383.343043141,115301.241235543,146700.327243421,90200.1342210289,303339.713777598,168.326267548622,227181.411900244,37994025.5741258,4.41872839430197E+019,8.37291823182232E+016,828975.103362609,501482992.989214
1401840000,0.382063800000001,1.68445150042816,2.80289636607077,-1.24398548607077,171856.007944388,115471.197374535,146646.267744617,90939.0189081146,303510.31127258,170.630582539781,223044.988440733,37813662.0151938,4.43350504988343E+019,8.50835305034808E+016,865499.17314326,530730595.263856
1401926400,0.658607399999998,1.5777655912594,2.78110238593551,-1.11295388593551,173602.915590863,117838.979670074,147741.855427414,92615.1972884574,303677.527404838,167.243203896185,230301.826666819,38205642.5578858,4.53650413172281E+019,8.3982790202882E+016,880306.240107815,546718725.363421
1402012800,0.801906600000004,1.53390112012133,2.77685995792627,-1.01505001792627,173524.567301615,118692.437911879,146801.154440611,92349.3432360106,303839.613331231,162.10807591506,238110.831367032,38164969.0019066,4.6207761077732E+019,8.30474453760539E+016,910422.909504186,572278797.46974
1402099200,0.384496200000006,1.371524007372,2.76715200365093,-0.966047103650934,167242.645974049,113753.085564265,141844.580905955,89033.462647645,304000.410907371,160.815698475958,228350.619212323,36423447.0015599,4.68972590635989E+019,8.41588540924836E+016,854466.271893854,539741796.120073
1402185600,0.4886502,1.27023182421345,2.72948295890442,-0.843061538904423,168188.528524222,109659.251825307,143744.111650327,85829.3785298914,304156.699833304,156.303753298511,228354.184435751,35447975.0012763,4.74613937793082E+019,8.29228879283604E+016,838923.734456025,533268952.037258
1402272000,1.9210086,1.62140440162919,2.8320980608436,-0.779580200843601,167616.250610727,110629.569675251,142357.000441176,85865.1278880929,304312.936227248,156.248525426055,229130.096123424,35600885.9101352,4.79229585467067E+019,8.39290270034148E+016,756476.341439647,481849823.102868
1402358400,1.2298698,1.69929141951479,2.85403642760294,-0.728682167602935,169438.023226958,112997.284279751,142865.000360962,86356.0137266215,304471.129640476,158.203338984954,230933.781422703,36386435.9264742,4.83006024473055E+019,8.5999556543695E+016,726427.768736922,464077271.357942
1402444800,0.842477999999995,1.64562570687574,2.85418147846515,-0.72824875846515,170044.382640239,114162.86895616,143061.72756806,87292.9203217812,304627.10606948,155.984550078599,234723.229632273,36454221.9398426,4.86095838205227E+019,8.53433394849974E+016,690756.10842184,441326985.621535
1402531200,6.50904360000001,3.31885848744379,4.31396450742484,-1.57405424742484,170800.313069286,115003.256418676,143448.504373867,87965.4802632756,304785.995875029,158.896450064308,233940.440523656,37031977.4053257,4.88623867622458E+019,8.74800364815266E+016,766461.296656682,485372769.338527
