time,open,high,low,close,EMA20,EMA50,EMA100,EMA200,SMA20,SMA50,SMA100,SMA2000
1294410600,2280.12988,2282.87012,2254.21997,2276.69995,2232.8697013386,2179.90556403815,2103.51409623461,2004.47429892217,2233.036499,2187.0422072,2071.9601076,1983.0780221
1294669800,2270.6499,2288.63989,2265,2284.37988,2237.77543263968,2184.00259603665,2107.09559690323,2007.25942908215,2236.4884885,2190.1352052,2076.2959059,1984.7367721
1294756200,2294.65991,2296.1499,2279.47998,2288.72998,2242.628246674,2188.10955227051,2110.69231736059,2010.06013108133,2240.55249,2193.4208058,2080.9532057,1986.37432215
1294842600,2298.62988,2304.87988,2289.05005,2304.87988,2248.55697365743,2192.68878080892,2114.53761563068,2012.99366092132,2245.1669795,2196.950005,2085.7445045,1988.05892175
1294929000,2303.6001,2310.82007,2298.62012,2305.53003,2253.98297902339,2197.11392783602,2118.31964363799,2015.90447056389,2250.3209835,2200.0262062,2090.7167042,1989.7948727
1295015400,2304.37012,2323.42993,2300.25,2323.42993,2260.59697435449,2202.06749654834,2122.38123346694,2018.96442538415,2255.591479,2203.3276026,2096.1983033,1991.6142233
1295361000,2300.92993,2331.32007,2296.62988,2328.79004,2267.09155203502,2207.03700805625,2126.46853656661,2022.04726732063,2261.116479,2206.1474024,2101.5774049,1993.36902435
1295447400,2329.92993,2332.98999,2294.88989,2303.32007,2270.5418870793,2210.81281440698,2129.97054712964,2024.84600167564,2265.1304805,2208.4796046,2106.9204054,1994.97587495
1295533800,2292.16992,2295.23999,2268.59009,2286.08008,2272.02171497651,2213.76447188122,2133.06182500826,2027.44534573857,2267.705981,2210.4224074,2111.8648073,1996.51977635
1295620200,2295.1499,2301.05005,2267.16992,2268.32007,2271.6691773597,2215.90390710156,2135.74020609721,2029.84210916406,2269.326489,2212.2512112,2116.8273073,1997.9577268
1295879400,2271.72998,2300.38989,2268.71997,2300.38989,2274.40448332544,2219.2170829015,2139.00059587746,2032.53412688382,2272.8324825,2214.5042092,2122.1569069,1999.4875266
1295965800,2288.5,2304.04004,2283.79004,2304.03003,2277.22596396112,2222.54308082693,2142.26850546405,2035.23557865612,2276.5409785,2217.1226076,2126.9967067,2001.02942725
